objectid,filename,title,creator,date,description,subject,type,format,language,rights,rightsstatement
myw001,all_hallows_eve.pdf,All Hallow's Eve,"Fredricksen, Karin",2024-10-31,This poem was written at midnight on Halloween 2024. Themes include reflection and healing from past hurt.,Poetry; Relationships; Healing,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2024",https://rightsstatements.org/vocab/InC/1.0/
myw002,augusted.pdf,Augusted,"Fredricksen, Karin",2024-09,"This poem was written at the end of summer 2024. Themes include processing the beginning and end of a relationship, and reflecting back on the experience.",Poetry; Relationships,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2024",https://rightsstatements.org/vocab/InC/1.0/
myw003,broken_dreams.pdf,Broken Dreams,"Fredricksen, Karin",2021-03,"This poem was written in the spring of 2021. Themes include grief, fear, and hope in the aftermath of the COVID-19 pandemic.",Creative Writing; Poetry; Pandemic,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2021",https://rightsstatements.org/vocab/InC/1.0/
myw004,by_the_duck_pond.pdf,By the Duck Pond,"Fredricksen, Karin",2023-04,"This poem was written in the spring of 2023. Themes include reflection on past relationships and being at a crossroads, looking towards the future.",Poetry; Reflection,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2023",https://rightsstatements.org/vocab/InC/1.0/
myw005,crush.jpg,Crush,"Fredricksen, Karin",2022,This poem was written in the spring of 2022. The format of descending lines is part of the poem. Themes include love and loss. ,Poetry; Relationships,Image; JPG,image/jpeg,eng,"Copyright, Karin Fredricksen 2022",https://rightsstatements.org/vocab/InC/1.0/
myw006,doubt.pdf,Doubt,"Fredricksen, Karin",2024-08,"This poem was written in the summer of 2024. Themes include relationship anxiety, doubt, self-doubt and self-confidence.",Poetry; Relationships,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2024",https://rightsstatements.org/vocab/InC/1.0/
myw007,dreaming.pdf,Dreaming,"Fredricksen, Karin",2025-02,"This poem was written in the winter of 2025. Themes include hope, and dreaming of the future amidst present frustration.",Poetry; Relationships; Hope,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2025",https://rightsstatements.org/vocab/InC/1.0/
myw008,goodnight.jpg,Goodnight,"Fredricksen, Karin",2022-04,This poem was written in the spring of 2022. The image includes yellow stars above and below the words. Themes include reflection and hope.,Creative Writing; Poetry,Image; JPG,image/jpeg,eng,"Copyright, Karin Fredricksen 2022",https://rightsstatements.org/vocab/InC/1.0/
myw009,in_between.pdf,In Between,"Fredricksen, Karin",2023,"This poem was written in the spring of 2023. Themes include reflection on the past, childhood wounds, and hope for the future.",Poetry; Reflection; Childhood,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2023",https://rightsstatements.org/vocab/InC/1.0/
myw010,no_words.pdf,No Words,"Fredricksen, Karin",2025-04,"This poem was written in the spring of 2025. Themes include heartbreak, grief, and processing the end of a relationship.",Poetry; Relationships; Heartbreak,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2025",https://rightsstatements.org/vocab/InC/1.0/
myw011,patience.pdf,Patience,"Fredricksen, Karin",2025-02,This poem was written in the winter of 2025. Themes include hope and optimism amidst cynicism. ,Poetry; Relationships,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2025",https://rightsstatements.org/vocab/InC/1.0/
myw012,perfect_storm.pdf,Perfect Storm,"Fredricksen, Karin",2024-08,This poem was written in the summer of 2024. Themes include reflection on the end of a relationship and hope for the future.,Poetry; Relationships; Heartbreak,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2024",https://rightsstatements.org/vocab/InC/1.0/
myw013,revenge.pdf,Revenge,"Fredricksen, Karin",2023,"This poem was written as a creative writing exercise. Themes include revenge, jealousy, and the complex emotions of someone who has been wronged.",Creative Writing; Poetry,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2023",https://rightsstatements.org/vocab/InC/1.0/
myw014,standing_up.pdf,Standing Up,"Fredricksen, Karin",2021,"This poem was written as a creative writing exercise. Themes include female rage, self-confidence, and worldly power dynamics.",Creative Writing; Poetry,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2021",https://rightsstatements.org/vocab/InC/1.0/
myw015,young_adult.pdf,Young Adult,"Fredricksen, Karin",2022,This poem was written in the spring of 2022. Themes include the grief and frustration faced by young adults in a post-pandemic world.,Poetry; Pandemic,Text; PDF,application/pdf,eng,"Copyright, Karin Fredricksen 2022",https://rightsstatements.org/vocab/InC/1.0/
